zip,donations,total,population,rate_per_1000,rate_label,total_formatted
20685,1045,30678.48999999994,6732,155.23,"155.23 per 1,000 people","$30,678.49"
20686,5,389.33,1639,3.05,"3.05 per 1,000 people",$389.33
20687,7,244.3,429,16.32,"16.32 per 1,000 people",$244.30
20688,2245,37209.47999999994,1945,1154.24,"1154.24 per 1,000 people","$37,209.48"
20689,49,2773.0099999999993,2386,20.54,"20.54 per 1,000 people","$2,773.01"
20690,735,14588.270000000004,950,773.68,"773.68 per 1,000 people","$14,588.27"
20692,20,1091.63,684,29.24,"29.24 per 1,000 people","$1,091.63"
20693,52,1714.5400000000006,1171,44.41,"44.41 per 1,000 people","$1,714.54"
20695,426,14520.069999999992,8400,50.71,"50.71 per 1,000 people","$14,520.07"
20701,15,1439.86,760,19.74,"19.74 per 1,000 people","$1,439.86"
20705,805,22559.73999999999,28348,28.4,"28.4 per 1,000 people","$22,559.74"
20706,1107,29126.840000000055,45329,24.42,"24.42 per 1,000 people","$29,126.84"
20707,1548,34556.44999999992,32184,48.1,"48.1 per 1,000 people","$34,556.45"
20708,789,54085.47,26842,29.39,"29.39 per 1,000 people","$54,085.47"
20710,72,2001.2699999999995,9483,7.59,"7.59 per 1,000 people","$2,001.27"
20711,727,37307.29999999996,7400,98.24,"98.24 per 1,000 people","$37,307.30"
20712,173,4516.9000000000005,9649,17.93,"17.93 per 1,000 people","$4,516.90"
20714,382,12063.769999999988,5331,71.66,"71.66 per 1,000 people","$12,063.77"
20715,4184,142469.33000000103,27360,152.92,"152.92 per 1,000 people","$142,469.33"
20716,1680,27480.630000000012,22223,75.6,"75.6 per 1,000 people","$27,480.63"
20720,1111,34529.47999999995,23618,47.04,"47.04 per 1,000 people","$34,529.48"
20721,535,14887.369999999986,30121,17.76,"17.76 per 1,000 people","$14,887.37"
20722,233,3351.6400000000003,5604,41.58,"41.58 per 1,000 people","$3,351.64"
20723,1100,43215.24999999997,36082,30.49,"30.49 per 1,000 people","$43,215.25"
20724,696,11786.809999999992,17681,39.36,"39.36 per 1,000 people","$11,786.81"
20732,1193,30932.33999999991,10295,115.88,"115.88 per 1,000 people","$30,932.34"
20733,781,35883.32,2645,295.27,"295.27 per 1,000 people","$35,883.32"
20735,1180,22491.139999999927,37009,31.88,"31.88 per 1,000 people","$22,491.14"
20736,765,36527.33999999994,8715,87.78,"87.78 per 1,000 people","$36,527.34"
20737,225,5443.21,22666,9.93,"9.93 per 1,000 people","$5,443.21"
20740,1193,56220.70999999998,31723,37.61,"37.61 per 1,000 people","$56,220.71"
20742,1,1,6511,0.15,"0.15 per 1,000 people",$1.00
20743,183,4492.559999999999,38747,4.72,"4.72 per 1,000 people","$4,492.56"
20744,2353,35052.24999999999,54572,43.12,"43.12 per 1,000 people","$35,052.25"
20745,1032,53411.80999999974,27503,37.52,"37.52 per 1,000 people","$53,411.81"
20746,140,2967.6399999999994,26396,5.3,"5.3 per 1,000 people","$2,967.64"
20747,375,12687.24,41128,9.12,"9.12 per 1,000 people","$12,687.24"
20748,653,14587.360000000004,38720,16.86,"16.86 per 1,000 people","$14,587.36"
20751,672,10915.30000000001,1972,340.77,"340.77 per 1,000 people","$10,915.30"
20754,1336,44534.28999999998,6950,192.23,"192.23 per 1,000 people","$44,534.29"
20755,167,4977.139999999996,11340,14.73,"14.73 per 1,000 people","$4,977.14"
20758,135,4327.030000000003,486,277.78,"277.78 per 1,000 people","$4,327.03"
20759,1027,36052.18999999997,4721,217.54,"217.54 per 1,000 people","$36,052.19"
20762,48,14706.78,3316,14.48,"14.48 per 1,000 people","$14,706.78"
20763,71,3276.5099999999993,1955,36.32,"36.32 per 1,000 people","$3,276.51"
20764,462,12968.499999999998,3482,132.68,"132.68 per 1,000 people","$12,968.50"
20765,522,6221.2599999999975,530,984.91,"984.91 per 1,000 people","$6,221.26"
20769,210,15896.250000000004,6172,34.02,"34.02 per 1,000 people","$15,896.25"
20770,496,21328.50999999997,24602,20.16,"20.16 per 1,000 people","$21,328.51"
20772,1389,31955.939999999937,46471,29.89,"29.89 per 1,000 people","$31,955.94"
20774,841,21914.559999999983,49907,16.85,"16.85 per 1,000 people","$21,914.56"
20776,1963,65721.77000000003,2940,667.69,"667.69 per 1,000 people","$65,721.77"
20777,293,20180.67,3444,85.08,"85.08 per 1,000 people","$20,180.67"
20778,393,16143.259999999997,2460,159.76,"159.76 per 1,000 people","$16,143.26"
20779,125,5277.000000000001,956,130.75,"130.75 per 1,000 people","$5,277.00"
20781,158,10096.329999999998,11460,13.79,"13.79 per 1,000 people","$10,096.33"
20782,7196,26050.830000000293,32527,221.23,"221.23 per 1,000 people","$26,050.83"
20783,527,9823.730000000003,45550,11.57,"11.57 per 1,000 people","$9,823.73"
20784,379,17513.350000000002,30381,12.47,"12.47 per 1,000 people","$17,513.35"
20785,651,38606.709999999955,39237,16.59,"16.59 per 1,000 people","$38,606.71"
20794,793,15510.410000000007,16956,46.77,"46.77 per 1,000 people","$15,510.41"
20812,15,2051.1,323,46.44,"46.44 per 1,000 people","$2,051.10"
20814,2487,202639.16000000053,29632,83.93,"83.93 per 1,000 people","$202,639.16"
20815,3805,721210.8099999983,30908,123.11,"123.11 per 1,000 people","$721,210.81"
20816,2495,284897.07999999885,16661,149.75,"149.75 per 1,000 people","$284,897.08"
20817,3009,522987.4099999978,38131,78.91,"78.91 per 1,000 people","$522,987.41"
20818,316,18863.17999999999,2072,152.51,"152.51 per 1,000 people","$18,863.18"
20832,3362,114980.55000000096,25427,132.22,"132.22 per 1,000 people","$114,980.55"
20833,963,30259.05999999992,7746,124.32,"124.32 per 1,000 people","$30,259.06"
20837,3241,57977.12000000006,6129,528.8,"528.8 per 1,000 people","$57,977.12"
20838,24,941.08,377,63.66,"63.66 per 1,000 people",$941.08
20839,18,512.8499999999999,139,129.5,"129.5 per 1,000 people",$512.85
20841,744,21229.879999999983,11692,63.63,"63.63 per 1,000 people","$21,229.88"
20842,136,10108.009999999997,1467,92.71,"92.71 per 1,000 people","$10,108.01"
20850,5886,203583.64000000097,53522,109.97,"109.97 per 1,000 people","$203,583.64"
20851,719,18287.63,14519,49.52,"49.52 per 1,000 people","$18,287.63"
20852,4380,157263.340000001,47338,92.53,"92.53 per 1,000 people","$157,263.34"
20853,2626,124813.38000000051,31510,83.34,"83.34 per 1,000 people","$124,813.38"
20854,12131,944799.1799999998,49196,246.59,"246.59 per 1,000 people","$944,799.18"
20855,2795,92437.87000000042,15955,175.18,"175.18 per 1,000 people","$92,437.87"
20860,292,14416.610000000002,2890,101.04,"101.04 per 1,000 people","$14,416.61"
20861,257,11465.850000000008,2015,127.54,"127.54 per 1,000 people","$11,465.85"
20862,70,3784.6399999999976,359,194.99,"194.99 per 1,000 people","$3,784.64"
20866,1219,25807.389999999996,16974,71.82,"71.82 per 1,000 people","$25,807.39"
20868,122,2218.01,539,226.35,"226.35 per 1,000 people","$2,218.01"
20871,4612,80923.96000000063,18961,243.24,"243.24 per 1,000 people","$80,923.96"
20872,1755,39932.7499999999,12790,137.22,"137.22 per 1,000 people","$39,932.75"
20874,4528,132768.29000000193,60258,75.14,"75.14 per 1,000 people","$132,768.29"
20876,3321,59598.96000000026,31703,104.75,"104.75 per 1,000 people","$59,598.96"
20877,4482,135030.5500000012,37948,118.11,"118.11 per 1,000 people","$135,030.55"
20878,6764,261582.07000000097,63576,106.39,"106.39 per 1,000 people","$261,582.07"
20879,1423,46258.66000000008,26343,54.02,"54.02 per 1,000 people","$46,258.66"
20880,2579,3529.360000000013,530,4866.04,"4866.04 per 1,000 people","$3,529.36"
20882,2077,55039.370000000104,14441,143.83,"143.83 per 1,000 people","$55,039.37"
20886,2666,44448.79999999998,34887,76.42,"76.42 per 1,000 people","$44,448.80"
20895,1821,84943.84000000029,18930,96.2,"96.2 per 1,000 people","$84,943.84"
20896,54,6205.740000000002,792,68.18,"68.18 per 1,000 people","$6,205.74"
20901,1373,39357.02999999992,36802,37.31,"37.31 per 1,000 people","$39,357.03"
20902,2665,111594.10000000116,52752,50.52,"50.52 per 1,000 people","$111,594.10"
20903,587,24608.239999999972,26951,21.78,"21.78 per 1,000 people","$24,608.24"
20904,3751,162519.77000000112,55856,67.15,"67.15 per 1,000 people","$162,519.77"
20905,1413,51927.54000000004,18590,76.01,"76.01 per 1,000 people","$51,927.54"
20906,5229,113328.51000000157,70441,74.23,"74.23 per 1,000 people","$113,328.51"
20910,4974,124519.65000000046,43729,113.75,"113.75 per 1,000 people","$124,519.65"
20912,343,14698.359999999995,25118,13.66,"13.66 per 1,000 people","$14,698.36"
21001,1059,32703.409999999927,24959,42.43,"42.43 per 1,000 people","$32,703.41"
21005,51,1740.7099999999998,2724,18.72,"18.72 per 1,000 people","$1,740.71"
21009,5140,66653.2000000004,31683,162.23,"162.23 per 1,000 people","$66,653.20"
21010,4,76,329,12.16,"12.16 per 1,000 people",$76.00
21012,3137,92377.88000000056,22746,137.91,"137.91 per 1,000 people","$92,377.88"
21013,1870,51311.059999999954,5157,362.61,"362.61 per 1,000 people","$51,311.06"
21014,7659,148802.47000000265,35668,214.73,"214.73 per 1,000 people","$148,802.47"
21015,4943,124358.7200000016,28975,170.6,"170.6 per 1,000 people","$124,358.72"
21017,616,9860.279999999992,6034,102.09,"102.09 per 1,000 people","$9,860.28"
21028,651,12705.77,2609,249.52,"249.52 per 1,000 people","$12,705.77"
21029,996,55820.07999999995,11523,86.44,"86.44 per 1,000 people","$55,820.08"
21030,2511,108375.52000000064,24152,103.97,"103.97 per 1,000 people","$108,375.52"
21031,3,121.07,26,115.38,"115.38 per 1,000 people",$121.07
21032,2557,106763.8800000004,7787,328.37,"328.37 per 1,000 people","$106,763.88"
21034,196,4830.949999999999,3178,61.67,"61.67 per 1,000 people","$4,830.95"
21035,1619,105207.05000000032,8315,194.71,"194.71 per 1,000 people","$105,207.05"
21036,128,7781.639999999995,2243,57.07,"57.07 per 1,000 people","$7,781.64"
21037,2560,132253.67000000077,21134,121.13,"121.13 per 1,000 people","$132,253.67"
21040,1925,35919.79999999996,24717,77.88,"77.88 per 1,000 people","$35,919.80"
21042,5156,197983.37000000064,42157,122.3,"122.3 per 1,000 people","$197,983.37"
21043,6185,122321.36000000112,46747,132.31,"132.31 per 1,000 people","$122,321.36"
21044,2871,89628.98000000049,45741,62.77,"62.77 per 1,000 people","$89,628.98"
21045,2114,65944.75000000004,40265,52.5,"52.5 per 1,000 people","$65,944.75"
21046,1732,41757.79999999992,15597,111.05,"111.05 per 1,000 people","$41,757.80"
21047,1600,55999.08000000003,12629,126.69,"126.69 per 1,000 people","$55,999.08"
21048,1342,54494.54000000002,9719,138.08,"138.08 per 1,000 people","$54,494.54"
21050,2703,80880.23000000008,17846,151.46,"151.46 per 1,000 people","$80,880.23"
21051,23,1247.9199999999998,231,99.57,"99.57 per 1,000 people","$1,247.92"
21052,33,576.63,179,184.36,"184.36 per 1,000 people",$576.63
21053,1337,18719.859999999982,3134,426.61,"426.61 per 1,000 people","$18,719.86"
21054,1243,55027.50999999999,11697,106.27,"106.27 per 1,000 people","$55,027.51"
21056,146,61699,333,438.44,"438.44 per 1,000 people","$61,699.00"
21057,803,30587.21999999996,4109,195.42,"195.42 per 1,000 people","$30,587.22"
21060,2913,77188.22000000016,36049,80.81,"80.81 per 1,000 people","$77,188.22"
21061,4334,94884.25000000096,55020,78.77,"78.77 per 1,000 people","$94,884.25"
21071,73,2712.2000000000007,454,160.79,"160.79 per 1,000 people","$2,712.20"
21074,1937,41324.14,14933,129.71,"129.71 per 1,000 people","$41,324.14"
21075,1098,38737.78999999992,34939,31.43,"31.43 per 1,000 people","$38,737.79"
21076,1184,37133.1999999999,17947,65.97,"65.97 per 1,000 people","$37,133.20"
21077,3,86.21000000000001,235,12.77,"12.77 per 1,000 people",$86.21
21078,3100,79610.61000000061,18957,163.53,"163.53 per 1,000 people","$79,610.61"
21082,236,4434.750000000003,608,388.16,"388.16 per 1,000 people","$4,434.75"
21084,1880,31766.83999999992,7670,245.11,"245.11 per 1,000 people","$31,766.84"
21085,2769,60720.31000000001,16318,169.69,"169.69 per 1,000 people","$60,720.31"
21087,2194,51768.68000000009,5437,403.53,"403.53 per 1,000 people","$51,768.68"
21090,912,24629.47999999995,9715,93.88,"93.88 per 1,000 people","$24,629.48"
21093,9103,260605.55000000255,38245,238.02,"238.02 per 1,000 people","$260,605.55"
21102,1820,33108.76999999995,12043,151.13,"151.13 per 1,000 people","$33,108.77"
21104,1121,24535.42999999998,6029,185.93,"185.93 per 1,000 people","$24,535.43"
21108,2665,93759.31000000042,19136,139.27,"139.27 per 1,000 people","$93,759.31"
21111,900,31044.06999999993,5343,168.44,"168.44 per 1,000 people","$31,044.07"
21113,2621,93812.13000000056,35210,74.44,"74.44 per 1,000 people","$93,812.13"
21114,5108,183088.8100000013,26460,193.05,"193.05 per 1,000 people","$183,088.81"
21117,3482,100675.68000000092,59663,58.36,"58.36 per 1,000 people","$100,675.68"
21120,1165,36591.729999999945,6775,171.96,"171.96 per 1,000 people","$36,591.73"
21122,9814,198584.7000000016,59664,164.49,"164.49 per 1,000 people","$198,584.70"
21128,1706,38107.33999999993,13967,122.15,"122.15 per 1,000 people","$38,107.34"
21130,5,202,104,48.08,"48.08 per 1,000 people",$202.00
21131,986,53588.45,7587,129.96,"129.96 per 1,000 people","$53,588.45"
21132,1935,26892.71999999997,3162,611.95,"611.95 per 1,000 people","$26,892.72"
21133,853,11557.72999999996,32714,26.07,"26.07 per 1,000 people","$11,557.73"
21136,5753,117010.2300000019,34347,167.5,"167.5 per 1,000 people","$117,010.23"
21140,372,14685.769999999997,3862,96.32,"96.32 per 1,000 people","$14,685.77"
21144,4088,93118.1200000007,35680,114.57,"114.57 per 1,000 people","$93,118.12"
21146,4267,170297.64000000138,27634,154.41,"154.41 per 1,000 people","$170,297.64"
21152,506,25937.42999999998,5349,94.6,"94.6 per 1,000 people","$25,937.43"
21153,84,9404.070000000003,348,241.38,"241.38 per 1,000 people","$9,404.07"
21154,1432,32637.779999999988,6467,221.43,"221.43 per 1,000 people","$32,637.78"
21155,225,8949.849999999999,2363,95.22,"95.22 per 1,000 people","$8,949.85"
21156,38,1853.68,371,102.43,"102.43 per 1,000 people","$1,853.68"
21157,4538,133764.6600000017,38714,117.22,"117.22 per 1,000 people","$133,764.66"
21158,2036,62736.160000000025,20773,98.01,"98.01 per 1,000 people","$62,736.16"
21160,432,7897.949999999998,2615,165.2,"165.2 per 1,000 people","$7,897.95"
21161,855,25529.959999999937,5738,149.01,"149.01 per 1,000 people","$25,529.96"
21162,327,8861.850000000008,4089,79.97,"79.97 per 1,000 people","$8,861.85"
21163,2253,31190.8699999999,6602,341.26,"341.26 per 1,000 people","$31,190.87"
21201,1094,21142.500000000044,17534,62.39,"62.39 per 1,000 people","$21,142.50"
21202,492,22378.09999999997,21880,22.49,"22.49 per 1,000 people","$22,378.10"
21204,8428,189115.3200000032,21518,391.67,"391.67 per 1,000 people","$189,115.32"
21205,80,3283.3199999999997,15900,5.03,"5.03 per 1,000 people","$3,283.32"
21206,814,20841.259999999973,51670,15.75,"15.75 per 1,000 people","$20,841.26"
21207,511,14736.519999999984,50440,10.13,"10.13 per 1,000 people","$14,736.52"
21208,3218,69404.8800000002,35273,91.23,"91.23 per 1,000 people","$69,404.88"
21209,1197,39362.56999999995,28621,41.82,"41.82 per 1,000 people","$39,362.57"
21210,586,22138.40999999998,16076,36.45,"36.45 per 1,000 people","$22,138.41"
21211,373,14625.330000000002,15735,23.71,"23.71 per 1,000 people","$14,625.33"
21212,1784,57711.109999999935,33865,52.68,"52.68 per 1,000 people","$57,711.11"
21213,222,5964.939999999996,30596,7.26,"7.26 per 1,000 people","$5,964.94"
21214,930,10893.830000000007,21666,42.92,"42.92 per 1,000 people","$10,893.83"
21215,1294,21237.409999999996,55081,23.49,"23.49 per 1,000 people","$21,237.41"
21216,38,780.86,28733,1.32,"1.32 per 1,000 people",$780.86
21217,524,7613.850000000001,32830,15.96,"15.96 per 1,000 people","$7,613.85"
21218,1068,22943.169999999973,46172,23.13,"23.13 per 1,000 people","$22,943.17"
21219,1407,24274.23999999998,9454,148.83,"148.83 per 1,000 people","$24,274.24"
21220,6821,123716.15000000082,41067,166.09,"166.09 per 1,000 people","$123,716.15"
21221,3435,71861.3400000003,41899,81.98,"81.98 per 1,000 people","$71,861.34"
21222,3186,58565.289999999986,56946,55.95,"55.95 per 1,000 people","$58,565.29"
21223,189,5440.709999999999,21974,8.6,"8.6 per 1,000 people","$5,440.71"
21224,4252,97096.64000000036,48770,87.18,"87.18 per 1,000 people","$97,096.64"
21225,1693,20727.42999999996,33227,50.95,"50.95 per 1,000 people","$20,727.43"
21226,355,6695.000000000005,6699,52.99,"52.99 per 1,000 people","$6,695.00"
21227,1904,36017.46000000001,33396,57.01,"57.01 per 1,000 people","$36,017.46"
21228,8380,190287.5699999994,49438,169.51,"169.51 per 1,000 people","$190,287.57"
21229,1451,43146.99999999995,45983,31.56,"31.56 per 1,000 people","$43,147.00"
21230,3292,42890.42000000036,33592,98,"98 per 1,000 people","$42,890.42"
21231,156,11765.870000000004,15906,9.81,"9.81 per 1,000 people","$11,765.87"
21234,4150,80660.86000000071,68678,60.43,"60.43 per 1,000 people","$80,660.86"
21236,5367,102116.84000000118,37803,141.97,"141.97 per 1,000 people","$102,116.84"
21237,1956,57059.060000000005,31105,62.88,"62.88 per 1,000 people","$57,059.06"
21239,410,10179.439999999997,30143,13.6,"13.6 per 1,000 people","$10,179.44"
21244,549,13203.5,36897,14.88,"14.88 per 1,000 people","$13,203.50"
21250,2,105.21,2443,0.82,"0.82 per 1,000 people",$105.21
21251,50,1973.96,1652,30.27,"30.27 per 1,000 people","$1,973.96"
21252,4,100,2040,1.96,"1.96 per 1,000 people",$100.00
21286,3403,97379.96999999994,19711,172.64,"172.64 per 1,000 people","$97,379.97"
21401,8690,458704.35999999574,38788,224.04,"224.04 per 1,000 people","$458,704.36"
21402,64,1129.13,6460,9.91,"9.91 per 1,000 people","$1,129.13"
21403,3952,180484.76000000135,31218,126.59,"126.59 per 1,000 people","$180,484.76"
21405,107,3649.420000000001,398,268.84,"268.84 per 1,000 people","$3,649.42"
21409,4980,188649.09000000064,19304,257.98,"257.98 per 1,000 people","$188,649.09"
21502,4775,103737.06000000116,41735,114.41,"114.41 per 1,000 people","$103,737.06"
21520,98,3721.250000000001,2003,48.93,"48.93 per 1,000 people","$3,721.25"
21521,33,1075.8800000000003,1183,27.9,"27.9 per 1,000 people","$1,075.88"
21522,1,47,218,4.59,"4.59 per 1,000 people",$47.00
21523,7,86.89,180,38.89,"38.89 per 1,000 people",$86.89
21524,20,457.2,831,24.07,"24.07 per 1,000 people",$457.20
21529,57,1045.86,467,122.06,"122.06 per 1,000 people","$1,045.86"
21530,89,1889.75,1923,46.28,"46.28 per 1,000 people","$1,889.75"
21531,246,7033.79,1744,141.06,"141.06 per 1,000 people","$7,033.79"
21532,2300,30815.46000000011,14498,158.64,"158.64 per 1,000 people","$30,815.46"
21536,814,7843.590000000014,3984,204.32,"204.32 per 1,000 people","$7,843.59"
21538,29,862.24,525,55.24,"55.24 per 1,000 people",$862.24
21539,32,1421.7499999999998,2664,12.01,"12.01 per 1,000 people","$1,421.75"
21540,1,21.07,90,11.11,"11.11 per 1,000 people",$21.07
21541,216,9666.629999999996,1536,140.62,"140.62 per 1,000 people","$9,666.63"
21543,280,4508.579999999999,229,1222.71,"1222.71 per 1,000 people","$4,508.58"
21545,64,1568.5600000000002,1771,36.14,"36.14 per 1,000 people","$1,568.56"
21550,1221,35610.61999999992,14327,85.22,"85.22 per 1,000 people","$35,610.62"
21555,98,2438.6499999999987,1501,65.29,"65.29 per 1,000 people","$2,438.65"
21557,69,1298.9399999999994,1592,43.34,"43.34 per 1,000 people","$1,298.94"
21561,323,20203.78999999999,2392,135.03,"135.03 per 1,000 people","$20,203.79"
21562,73,1325.5500000000004,3426,21.31,"21.31 per 1,000 people","$1,325.55"
21601,3519,198588.0400000003,23338,150.78,"150.78 per 1,000 people","$198,588.04"
21607,10,253.65,770,12.99,"12.99 per 1,000 people",$253.65
21610,22,612.65,412,53.4,"53.4 per 1,000 people",$612.65
21612,40,2340.93,597,67,"67 per 1,000 people","$2,340.93"
21613,1016,25820.179999999946,17115,59.36,"59.36 per 1,000 people","$25,820.18"
21617,1393,44502.849999999904,10534,132.24,"132.24 per 1,000 people","$44,502.85"
21619,1752,53307.83999999997,5789,302.64,"302.64 per 1,000 people","$53,307.84"
21620,3547,57317.93000000011,12989,273.08,"273.08 per 1,000 people","$57,317.93"
21622,47,1015.8599999999996,704,66.76,"66.76 per 1,000 people","$1,015.86"
21623,160,11603.930000000004,2248,71.17,"71.17 per 1,000 people","$11,603.93"
21624,2,200,115,17.39,"17.39 per 1,000 people",$200.00
21625,181,6536.09,2401,75.39,"75.39 per 1,000 people","$6,536.09"
21628,76,1665.3,324,234.57,"234.57 per 1,000 people","$1,665.30"
21629,702,26028.75999999993,9464,74.18,"74.18 per 1,000 people","$26,028.76"
21631,106,2140.9599999999996,2708,39.14,"39.14 per 1,000 people","$2,140.96"
21632,385,8560.209999999992,5885,65.42,"65.42 per 1,000 people","$8,560.21"
21634,12,660.53,243,49.38,"49.38 per 1,000 people",$660.53
21635,909,25782.629999999972,1970,461.42,"461.42 per 1,000 people","$25,782.63"
21636,140,3741.630000000001,837,167.26,"167.26 per 1,000 people","$3,741.63"
21638,688,24723.95999999996,5227,131.62,"131.62 per 1,000 people","$24,723.96"
21639,299,4298.609999999999,5410,55.27,"55.27 per 1,000 people","$4,298.61"
21640,21,870.59,1467,14.31,"14.31 per 1,000 people",$870.59
21643,129,3421.1600000000003,5956,21.66,"21.66 per 1,000 people","$3,421.16"
21644,21,1489.06,78,269.23,"269.23 per 1,000 people","$1,489.06"
21645,799,16686.719999999976,1345,594.05,"594.05 per 1,000 people","$16,686.72"
21647,2,1046.02,357,5.6,"5.6 per 1,000 people","$1,046.02"
21648,6,292.18000000000006,126,47.62,"47.62 per 1,000 people",$292.18
21649,11,251.31,2204,4.99,"4.99 per 1,000 people",$251.31
21650,36,743.2800000000001,296,121.62,"121.62 per 1,000 people",$743.28
21651,114,4187.79,2683,42.49,"42.49 per 1,000 people","$4,187.79"
21652,6,186.33,149,40.27,"40.27 per 1,000 people",$186.33
21653,5,115.48,96,52.08,"52.08 per 1,000 people",$115.48
21654,475,35940.680000000015,1221,389.03,"389.03 per 1,000 people","$35,940.68"
21655,911,15795.929999999988,4763,191.27,"191.27 per 1,000 people","$15,795.93"
21657,81,4380.89,727,111.42,"111.42 per 1,000 people","$4,380.89"
21658,1085,46045.019999999975,4177,259.76,"259.76 per 1,000 people","$46,045.02"
21659,3060,58483.720000000016,1509,2027.83,"2027.83 per 1,000 people","$58,483.72"
21660,318,8391.409999999993,4361,72.92,"72.92 per 1,000 people","$8,391.41"
21661,1483,30077.569999999967,2695,550.28,"550.28 per 1,000 people","$30,077.57"
21662,168,15801.980000000009,369,455.28,"455.28 per 1,000 people","$15,801.98"
21663,1221,42010.009999999944,3715,328.67,"328.67 per 1,000 people","$42,010.01"
21664,12,606.3299999999999,497,24.14,"24.14 per 1,000 people",$606.33
21665,55,6186.34,194,283.51,"283.51 per 1,000 people","$6,186.34"
21666,2612,85565.16000000027,13463,194.01,"194.01 per 1,000 people","$85,565.16"
21667,5,207,255,19.61,"19.61 per 1,000 people",$207.00
21668,399,6508.429999999995,1763,226.32,"226.32 per 1,000 people","$6,508.43"
21669,15,1276.6999999999998,114,131.58,"131.58 per 1,000 people","$1,276.70"
21671,57,2785.99,808,70.54,"70.54 per 1,000 people","$2,785.99"
21672,2,46.05,149,13.42,"13.42 per 1,000 people",$46.05
21673,188,8611.570000000002,3019,62.27,"62.27 per 1,000 people","$8,611.57"
21675,1,25,57,17.54,"17.54 per 1,000 people",$25.00
