zip,donations,total,NAME,population,B01003_001M,rate_per_1000
21776,1147,15895.469999999972,ZCTA5 21776,6137,586,186.9
21777,105,5306.590000000001,ZCTA5 21777,2067,417,50.8
21778,138,3602.839999999998,ZCTA5 21778,930,249,148.39
21779,121,6273.829999999999,ZCTA5 21779,1712,661,70.68
21780,106,3914.229999999999,ZCTA5 21780,1864,407,56.87
21782,271,8791.65,ZCTA5 21782,4348,568,62.33
21783,718,14984.93999999998,ZCTA5 21783,9637,1018,74.5
21784,6982,355008.319999996,ZCTA5 21784,36484,1317,191.37
21787,1154,26892.229999999985,ZCTA5 21787,10194,540,113.2
21788,986,20376.15,ZCTA5 21788,12241,818,80.55
21791,1011,16003.319999999983,ZCTA5 21791,5080,605,199.02
21793,1537,46443.080000000016,ZCTA5 21793,10477,708,146.7
21794,384,21564.38999999999,ZCTA5 21794,2191,438,175.26
21795,917,23988.369999999977,ZCTA5 21795,9150,838,100.22
21797,2300,90915.01000000056,ZCTA5 21797,8558,958,268.75
21798,453,9415.339999999993,ZCTA5 21798,2412,517,187.81
21801,2279,50766.34,ZCTA5 21801,30122,1498,75.66
21802,43,2320.959999999999,ZCTA5 21802,98,47,438.78
21804,4477,63720.600000000406,ZCTA5 21804,39842,1392,112.37
21810,75,2913.13,ZCTA5 21810,656,320,114.33
21811,3477,115303.71000000108,ZCTA5 21811,24356,921,142.76
21813,503,11720.36,ZCTA5 21813,2636,511,190.82
21814,5,267.12,ZCTA5 21814,274,194,18.25
21817,551,19574.94999999999,ZCTA5 21817,4247,342,129.74
21821,73,5392.68,ZCTA5 21821,834,199,87.53
21822,182,10207.600000000002,ZCTA5 21822,1527,403,119.19
21824,8,294.93,ZCTA5 21824,181,129,44.2
21826,1033,11213.05,ZCTA5 21826,5317,162,194.28
21829,6,113.99,ZCTA5 21829,397,204,15.11
21830,231,9891.73,ZCTA5 21830,4790,893,48.23
21835,19,622.25,ZCTA5 21835,207,106,91.79
21837,85,2525.719999999999,ZCTA5 21837,3322,464,25.59
21838,168,2872.4799999999996,ZCTA5 21838,1805,407,93.07
21840,8,342.2,ZCTA5 21840,353,211,22.66
21841,80,2151.8799999999997,ZCTA5 21841,1455,332,54.98
21842,6872,94323.41000000104,ZCTA5 21842,10525,625,652.92
21843,164,18116.730000000003,NA,NA,NA,NA
21849,320,9043.979999999998,ZCTA5 21849,3659,742,87.46
21850,98,1950.46,ZCTA5 21850,3442,772,28.47
21851,1760,13319.82000000002,ZCTA5 21851,7237,517,243.19
21852,2,2,NA,NA,NA,NA
21853,189,7985.15,ZCTA5 21853,11437,695,16.53
21856,116,1575.8899999999996,ZCTA5 21856,957,385,121.21
21861,30,750.4300000000003,ZCTA5 21861,687,136,43.67
21862,7,266.86,ZCTA5 21862,86,137,81.4
21863,502,14885.14,ZCTA5 21863,4578,626,109.65
21864,62,422.49,ZCTA5 21864,643,231,96.42
21865,553,5861.259999999992,ZCTA5 21865,433,237,1277.14
21869,162,3811.920000000001,ZCTA5 21869,1155,224,140.26
21871,6748,28618.619999999828,ZCTA5 21871,2031,429,3322.5
21872,67,1340.1700000000003,ZCTA5 21872,585,345,114.53
21874,289,5033.470000000003,ZCTA5 21874,1917,418,150.76
21875,571,7865.319999999991,ZCTA5 21875,7084,872,80.6
21901,1807,37834.40000000001,ZCTA5 21901,17694,1407,102.13
21903,722,9080.169999999973,ZCTA5 21903,5794,494,124.61
21904,429,10706.209999999994,ZCTA5 21904,6484,596,66.16
21911,2860,39679.05000000002,ZCTA5 21911,11103,834,257.59
21912,116,4251.120000000001,ZCTA5 21912,1520,451,76.32
21913,40,1308.4999999999995,ZCTA5 21913,901,263,44.4
21914,28,1399.7300000000002,ZCTA5 21914,804,258,34.83
21915,262,10522.589999999998,ZCTA5 21915,2739,510,95.66
21917,138,3712.3899999999994,ZCTA5 21917,2017,532,68.42
21918,682,13136.439999999982,ZCTA5 21918,4321,488,157.83
21919,193,7736.6,ZCTA5 21919,2905,540,66.44
21920,8,227.88,ZCTA5 21920,953,614,8.39
21921,6986,117748.40000000056,ZCTA5 21921,45225,1521,154.47
21922,22,455.97,NA,NA,NA,NA
21930,1,312.3,ZCTA5 21930,120,156,8.33
22093,2,90,NA,NA,NA,NA
22312,25,2183.76,ZCTA5 22312,30327,1787,0.82
22905,1,47,NA,NA,NA,NA
26876,1,1,NA,NA,NA,NA
27549,1,30,ZCTA5 27549,25485,1340,0.04
28852,16,268,NA,NA,NA,NA
28878,8,146.55,NA,NA,NA,NA
30328,10,88.02,ZCTA5 30328,38685,1820,0.26
33371,1,1,NA,NA,NA,NA
35791,1,1,NA,NA,NA,NA
35827,1,1,NA,NA,NA,NA
36339,1,1,NA,NA,NA,NA
36362,6,120,ZCTA5 36362,5715,534,1.05
37535,1,1,NA,NA,NA,NA
40752,1,1,NA,NA,NA,NA
41880,1,1,NA,NA,NA,NA
42941,1,1,NA,NA,NA,NA
44593,1,1,NA,NA,NA,NA
46432,1,1,NA,NA,NA,NA
55094,1,1,NA,NA,NA,NA
57404,1,1,NA,NA,NA,NA
57876,1,1,NA,NA,NA,NA
59573,1,1,NA,NA,NA,NA
63584,1,1,NA,NA,NA,NA
68775,1,1,NA,NA,NA,NA
70109,1,1,NA,NA,NA,NA
70287,1,1,NA,NA,NA,NA
70960,1,1,NA,NA,NA,NA
71990,1,1,NA,NA,NA,NA
72605,1,1,NA,NA,NA,NA
75177,1,1,NA,NA,NA,NA
75690,1,1,NA,NA,NA,NA
76381,1,1,NA,NA,NA,NA
79023,1,1,NA,NA,NA,NA
79644,1,1,NA,NA,NA,NA
81779,1,1,NA,NA,NA,NA
83486,1,1,NA,NA,NA,NA
86119,1,1,NA,NA,NA,NA
87963,1,1,NA,NA,NA,NA
88952,1,1,NA,NA,NA,NA
89707,1,1,NA,NA,NA,NA
92348,1,1,NA,NA,NA,NA
97645,1,1,NA,NA,NA,NA
98598,1,1,NA,NA,NA,NA
98677,1,1,NA,NA,NA,NA
